name,code,keph,sub,lat,lon,pop,poorest,poor40,heat,flood,heat_poor,flood_poor,far,rwi,hot_days,rx5,river,km,max_km,assessed,assessed_name,risk,V
Mtoroni Dispensary,18309,Level 2,Magarini,-2.86116,40.15056,15028,5009,10019,0,0,0,0,10019,-0.477,1.7,93.1,6.0,13.8,26.6,False,,,
Mtondia Dispensary,11667,Level 2,Kilifi North,-3.5712,39.8675,14789,0,2055,0,2456,0,0,0,0.128,0.1,101.8,26.2,3.2,5.4,True,Mtondia Dispensary,28.1,3.38
Jilore Dispensary,11433,Level 2,Malindi,-3.1892,39.9058,14706,4693,4693,0,0,0,0,0,-0.239,9.7,87.8,49.1,1.7,2.4,False,,,
Kizingo Health Centre,11497,Level 3,Kilifi South,-3.7821,39.677,14104,0,1761,0,0,0,0,0,-0.127,0.5,100.1,28.9,2.0,3.1,False,,,
Rainbow Medical Burangi,11752,Level 2,Magarini,-3.2619,40.0897,14080,0,0,0,0,0,0,0,0.382,0.1,106.4,2.9,2.1,3.6,False,,,
Kamkomani Dispensary,19189,Level 2,Kaloleni,-3.8844,39.5189,13946,0,0,0,3521,0,0,0,0.08,4.7,96.8,56.2,3.0,4.9,False,,,
Lenga Dispensary,11517,Level 2,Rabai,-3.8669,39.6618,13441,6538,6538,0,0,0,0,0,-0.324,0.7,110.5,12.4,2.5,3.6,False,,,
Bamba Sub-County Hospital,11237,Level 4,Ganze,-3.5454,39.5237,13228,3207,7616,0,12025,0,6814,0,-0.369,10.1,75.7,114.9,5.4,8.4,True,Bamba Sub County Hospital,24.6,3.21
Mnarani Dispensary,11636,Level 2,Kilifi North,-3.6412,39.8459,13134,0,2456,0,2055,0,2055,0,0.177,0.1,100.0,26.4,3.3,7.4,False,,,
Mirihini Dispensary,11618,Level 2,Ganze,-3.43813,39.59241,12827,3207,8418,802,12827,802,8418,401,-0.409,13.5,79.2,151.2,5.8,11.2,False,,,
Roka Maweni Dispensary,11758,Level 2,Kilifi North,-3.4436,39.92867,12733,0,6166,0,0,0,0,0,-0.336,0.1,96.5,2.2,2.7,4.5,False,,,
Bomani Dispensary,11255,Level 2,Kilifi South,-3.8843,39.7494,12343,0,3086,0,0,0,0,0,-0.056,0.1,112.4,12.4,2.2,3.7,True,Bomani Dispensary,33.0,3.97
Palakumi Dispensary,11730,Level 2,Ganze,-3.6213,39.6059,12340,8331,10737,0,5612,0,4810,0,-0.608,4.1,82.5,84.9,5.1,8.0,True,Palakumi Dispensary,34.8,4.18
Vishakani Dispensary,16190,Level 2,Kaloleni,-3.83063,39.62322,12325,0,0,0,0,0,0,0,0.117,2.3,95.0,28.9,3.0,5.0,True,Vishakani Dispensary,36.3,4.18
Bombi Dispensary,11256,Level 2,Magarini,-3.07925,39.47874,11897,8766,10019,11897,0,10019,0,6262,-0.619,54.2,73.0,16.8,11.1,27.4,False,,,
Fundi Issa Dispensary,11379,Level 2,Magarini,-2.92982,40.09493,11271,3757,6888,0,0,0,0,0,-0.445,0.5,91.3,7.2,4.5,7.7,False,,,
Sabaki Dispensary,11761,Level 2,Magarini,-3.1637,40.0829,11265,0,1879,0,0,0,0,0,-0.185,0.3,104.4,3.5,3.5,5.5,True,Sabaki Dispensary,31.0,3.45
Sokoke Dispensary,11802,Level 2,Ganze,-3.5215,39.767,10925,5663,8520,0,10925,0,8520,0,-0.542,2.5,93.4,152.0,4.6,6.6,False,,,
