mfl_code,facility_name,keph_level,facility_type,sub_county,ward,owner_type,beds,latitude,longitude,coord_source,matched_name_2019,match_score,status
21119,Mwapula Dispensary,Level 2,Dispensary,Ganze,Jaribuni,Ministry of Health,0,-3.6186,39.7034,GPS,Mwapula Dispensary,1.0,matched
20935,Kilifi County Beyond Zero Campaign Mobile Dispensary,Level 2,Dispensary,Kilifi North,Sokoni,Ministry of Health,0,,,,,,no match in 2019 inventory
20344,Karimboni Dispensary,Level 2,Dispensary,Magarini,Garashi,Ministry of Health,0,-3.0959,39.9935,GPS,Karimboni Dispensary,1.0,matched
20342,Malanga Dispensary (Vitengeni),Level 2,Dispensary,Ganze,Sokoke,Ministry of Health,10,-3.2818,39.7904,GPS,Malanga Vitengeni Dispensary,1.0,matched
20309,Bore Singwaya Dispensary,Level 2,Dispensary,Magarini,Garashi,Ministry of Health,0,-3.0526,39.9066,GPS,Bore Singwaya Dispensary,1.0,matched
20308,Chamari Dispensary,Level 2,Dispensary,Magarini,Marafa,Ministry of Health,0,-2.9027,39.8974,GPS,Chamari Dispensary,1.0,matched
20307,Shomella Dispensary,Level 2,Dispensary,Magarini,Gongoni,Ministry of Health,0,-2.9802,40.0561,GPS,Shomella Dispensary,1.0,matched
20300,Mshongoleni Community Dispensary,Level 2,Dispensary,Malindi,Ganda,Ministry of Health,0,-3.2469,40.0273,GPS,Mshongoleni Community Dispensary,1.0,matched
20036,Mmangani Dispensary,Level 2,Dispensary,Malindi,Kakuyuni,Ministry of Health,0,-3.11,39.5847,GPS,Mmangani Dispensary,1.0,matched
19189,Kamkomani Dispensary,Level 2,Dispensary,Kaloleni,Mariakani,Ministry of Health,2,-3.8844,39.5189,GPS,Kamkomani Dispensary,1.0,matched
19024,Dungicha Dispensary,Level 2,Dispensary,Ganze,Ganze,Ministry of Health,0,-3.4724,39.6598,GPS,Dungicha Dispensary,1.0,matched
